time,mod,dir,temp,rh,mslp
2016-01-01 01:00:00,7.800498008728027,157.8092498779297,279.17401123046875,0.8830945491790771,102120.5390625
2016-01-01 02:00:00,9.317367553710938,160.9287872314453,279.6340026855469,0.8509148359298706,101957.6875
2016-01-01 03:00:00,10.075523376464844,164.96974182128906,280.109130859375,0.821070671081543,101805.640625
2016-01-01 04:00:00,10.390824317932129,168.27467346191406,280.2686767578125,0.8124105930328369,101717.03125
2016-01-01 05:00:00,10.58646297454834,168.17245483398438,280.51043701171875,0.7896671891212463,101631.59375
2016-01-01 06:00:00,12.540626525878906,172.82254028320312,280.84332275390625,0.7747964262962341,101483.28125
2016-01-01 07:00:00,14.545782089233398,170.45587158203125,280.4072570800781,0.7872300744056702,101245.1875
2016-01-01 08:00:00,15.533402442932129,167.54063415527344,280.7000732421875,0.7769272923469543,101048.328125
2016-01-01 09:00:00,10.954859733581543,167.3912811279297,281.14520263671875,0.8315988183021545,101106.71875
2016-01-01 10:00:00,14.723209381103516,184.6827850341797,282.9804992675781,0.8443347811698914,100922.640625
2016-01-01 11:00:00,14.792594909667969,183.0144500732422,283.6353759765625,0.8993530869483948,100709.65625
2016-01-01 12:00:00,13.979976654052734,204.50704956054688,283.71087646484375,0.9337542653083801,100598.1796875
2016-01-01 13:00:00,12.190740585327148,216.51242065429688,283.1753234863281,0.9191890358924866,100951.9609375
2016-01-01 14:00:00,12.71168327331543,224.79388427734375,283.1731262207031,0.8622238039970398,100954.15625
2016-01-01 15:00:00,12.642632484436035,232.36160278320312,282.5148010253906,0.8797300457954407,100964.4375
2016-01-01 16:00:00,12.477558135986328,240.726318359375,281.984619140625,0.8880206942558289,101057.859375
2016-01-01 17:00:00,13.346170425415039,246.3012237548828,281.24169921875,0.8715401887893677,101135.1796875
2016-01-01 18:00:00,13.519155502319336,245.12368774414062,280.7293701171875,0.8660968542098999,101225.59375
2016-01-01 19:00:00,12.318232536315918,243.68797302246094,279.8526306152344,0.9294164180755615,101285.296875
2016-01-01 20:00:00,11.613539695739746,244.7530059814453,279.6844482421875,0.9037171602249146,101336.9609375
2016-01-01 21:00:00,10.880873680114746,247.2781524658203,279.37030029296875,0.9009225964546204,101459.71875
2016-01-01 22:00:00,11.982707023620605,245.44754028320312,279.3470764160156,0.9190261363983154,101577.84375
2016-01-01 23:00:00,10.903434753417969,247.85289001464844,279.35211181640625,0.9203867316246033,101603.9765625
2016-01-02 00:00:00,10.151238441467285,243.97483825683594,278.84112548828125,0.9198421835899353,101564.5390625
2016-01-02 01:00:00,7.931809902191162,243.8833770751953,278.46307373046875,0.9000874757766724,101708.078125
2016-01-02 02:00:00,8.368614196777344,243.97694396972656,278.5218200683594,0.8916378617286682,101728.65625
2016-01-02 03:00:00,8.628705978393555,249.23907470703125,278.8243103027344,0.8746316432952881,101724.1171875
2016-01-02 04:00:00,9.833473205566406,243.57278442382812,278.7117614746094,0.8787632584571838,101768.7421875
2016-01-02 05:00:00,8.036910057067871,260.34564208984375,278.3128662109375,0.9186323881149292,101819.703125
2016-01-02 06:00:00,9.427435874938965,257.00701904296875,278.5167541503906,0.8629800081253052,101895.46875
2016-01-02 07:00:00,7.579078674316406,255.02406311035156,278.45770263671875,0.8997007608413696,101941.6484375
2016-01-02 08:00:00,6.981569766998291,240.871826171875,278.08270263671875,0.9594492316246033,101959.0625
2016-01-02 09:00:00,7.40083122253418,240.92095947265625,277.8262634277344,0.9732253551483154,102043.390625
2016-01-02 10:00:00,6.082807540893555,238.30848693847656,278.3059387207031,0.9516444802284241,102111.5546875
2016-01-02 11:00:00,6.486959457397461,238.4269561767578,279.2999267578125,0.932489812374115,102133.0234375
2016-01-02 12:00:00,6.970525741577148,245.32460021972656,280.025634765625,0.9121987819671631,102138.9296875
2016-01-02 13:00:00,6.562587738037109,233.0977325439453,281.1465759277344,0.7938015460968018,102186.4296875
2016-01-02 14:00:00,7.449227809906006,221.017333984375,281.2744445800781,0.8104183673858643,102135.1484375
2016-01-02 15:00:00,7.216338634490967,216.9195556640625,281.07489013671875,0.8072812557220459,102062.9296875
2016-01-02 16:00:00,6.013313293457031,206.40911865234375,280.6878662109375,0.8575171232223511,102037.875
2016-01-02 17:00:00,7.751858234405518,203.8303680419922,280.68023681640625,0.8869011402130127,102021.828125
2016-01-02 18:00:00,7.770452499389648,207.62918090820312,280.69232177734375,0.8988824486732483,101988.421875
2016-01-02 19:00:00,9.224098205566406,205.1593017578125,280.7618713378906,0.9036956429481506,101864.421875
2016-01-02 20:00:00,9.45510196685791,209.30430603027344,281.0243225097656,0.9121585488319397,101742.046875
2016-01-02 21:00:00,10.46743106842041,207.8776397705078,281.2506103515625,0.9066866636276245,101736.75
2016-01-02 22:00:00,10.943462371826172,207.30587768554688,281.4736328125,0.9072937369346619,101686.90625
2016-01-02 23:00:00,12.058172225952148,207.8779296875,281.79486083984375,0.9081265330314636,101575.4609375
2016-01-03 00:00:00,13.346041679382324,207.1837921142578,281.93524169921875,0.904323399066925,101393.46875
2016-01-03 01:00:00,11.997453689575195,199.6464080810547,281.31298828125,0.9246683120727539,101391.2890625
2016-01-03 02:00:00,13.101624488830566,202.8770294189453,281.6208190917969,0.9239011406898499,101314.109375
2016-01-03 03:00:00,14.385358810424805,208.6332244873047,282.0927429199219,0.9286937713623047,101167.5625
2016-01-03 04:00:00,15.210867881774902,213.65869140625,282.643310546875,0.9370487928390503,101029.6171875
2016-01-03 05:00:00,16.595603942871094,216.5997314453125,283.2091369628906,0.9261593222618103,100893.640625
